Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
SKT_02,5, ,K 766.490,K,766.493,64311071.13,0.08400986402,54027.64341,67.35581419,67.35581419,67.36,67.36,0.08392201746,0.05652635815,0.05652635815,mg/L,mg/L,1,3/31/2022,10:30:04 AM,2,3/31/2022,10:30:11 AM,3,3/31/2022,10:30:19 AM
SKT_02,5, ,Na 589.592,Na,589.595,4209859.314,1.12163808,47219.3852,1.132056547,1.132056547,1.132,1.132,1.034822563,0.01171477658,0.01171477658,mg/L,mg/L,1,3/31/2022,10:30:31 AM,2,3/31/2022,10:30:35 AM,3,3/31/2022,10:30:38 AM
SKT_02,5, ,Fe 238.204,Fe,238.204,41909.18135,0.3272856441,137.1627341,0.09485508592,0.09485508592,0.095,0.095,0.2692443178,0.000255391929,0.000255391929,mg/L,mg/L,1,3/31/2022,10:30:45 AM,2,3/31/2022,10:30:54 AM,3,3/31/2022,10:31:01 AM
SKT_02,5, ,Zn 206.200,Zn,206.201,20327.50069,0.3720149511,75.62134173,0.2000937888,0.2000937888,0.200,0.200,0.3632112427,0.0007267631368,0.0007267631368,mg/L,mg/L,1,3/31/2022,10:31:10 AM,2,3/31/2022,10:31:17 AM,3,3/31/2022,10:31:24 AM
SKT_03,6, ,Cd 228.802,Cd,228.801,2285.079211,2.318609722,52.98206873,0.005947642003,0.005947642003,0.006,0.006,2.643801655,0.0001572438577,0.0001572438577,mg/L,mg/L,1,3/31/2022,10:33:43 AM,2,3/31/2022,10:33:51 AM,3,3/31/2022,10:33:58 AM
SKT_03,6, ,K 766.490,K,766.493,4695684.809,0.6281756491,29497.14853,4.983286623,4.983286623,4.983,4.983,0.6192972462,0.03086135683,0.03086135683,mg/L,mg/L,1,3/31/2022,10:34:11 AM,2,3/31/2022,10:34:15 AM,3,3/31/2022,10:34:17 AM
SKT_03,6, ,Na 589.592,Na,589.595,4401921.694,0.649296549,28581.52565,1.179705789,1.179705789,1.180,1.180,0.601070452,0.007090862916,0.007090862916,mg/L,mg/L,1,3/31/2022,10:34:25 AM,2,3/31/2022,10:34:29 AM,3,3/31/2022,10:34:32 AM
SKT_03,6, ,Fe 238.204,Fe,238.204,1091086.154,0.5463225198,5960.849368,2.048383736,2.048383736,2.048,2.048,0.5418360084,0.01109888067,0.01109888067,mg/L,mg/L,1,3/31/2022,10:34:39 AM,2,3/31/2022,10:34:42 AM,3,3/31/2022,10:34:44 AM
SKT_03,6, ,Zn 206.200,Zn,206.201,13672.01859,0.3066978512,41.93178724,0.1361309056,0.1361309056,0.136,0.136,0.2960296092,0.0004029877879,0.0004029877879,mg/L,mg/L,1,3/31/2022,10:34:48 AM,2,3/31/2022,10:34:56 AM,3,3/31/2022,10:35:04 AM
SKT_04,7, ,Cd 228.802,Cd,228.801,14.18862981,364.9567172,51.78235757,-0.0007920645407,-0.0007920645407,-0.001,-0.001,19.40287234,0.0001536832717,0.0001536832717,mg/L,mg/L,1,3/31/2022,10:42:37 AM,2,3/31/2022,10:42:45 AM,3,3/31/2022,10:42:53 AM
SKT_04,7, ,K 766.490,K,766.493,63589522.52,0.2697025546,171502.5667,66.60089481,66.60089481,66.60,66.60,0.2694173381,0.179434358,0.179434358,mg/L,mg/L,1,3/31/2022,10:43:05 AM,2,3/31/2022,10:43:14 AM,3,3/31/2022,10:43:21 AM
SKT_04,7, ,Na 589.592,Na,589.595,14848733.42,0.356456432,52929.26534,3.771481705,3.771481705,3.771,3.771,0.3481749668,0.01313135517,0.01313135517,mg/L,mg/L,1,3/31/2022,10:43:33 AM,2,3/31/2022,10:43:37 AM,3,3/31/2022,10:43:41 AM
SKT_04,7, ,Fe 238.204,Fe,238.204,46606.69494,0.2116107869,98.62479389,0.1036016822,0.1036016822,0.104,0.104,0.1772516703,0.0001836357121,0.0001836357121,mg/L,mg/L,1,3/31/2022,10:43:49 AM,2,3/31/2022,10:43:58 AM,3,3/31/2022,10:44:05 AM
SKT_04,7, ,Zn 206.200,Zn,206.201,13875.85065,0.1026652619,14.24567842,0.1380898451,0.1380898451,0.138,0.138,0.09914479201,0.0001369088897,0.0001369088897,mg/L,mg/L,1,3/31/2022,10:44:14 AM,2,3/31/2022,10:44:22 AM,3,3/31/2022,10:44:29 AM
SKT_05,8, ,Cd 228.802,Cd,228.801,2172.323493,1.72611848,37.49687726,0.005612997764,0.005612997764,0.006,0.006,1.982645233,0.0001112858326,0.0001112858326,mg/L,mg/L,1,3/31/2022,10:46:49 AM,2,3/31/2022,10:46:56 AM,3,3/31/2022,10:47:03 AM
SKT_05,8, ,K 766.490,K,766.493,25960066.88,0.4298187193,111581.227,27.23112127,27.23112127,27.23,27.23,0.4287070146,0.116741727,0.116741727,mg/L,mg/L,1,3/31/2022,10:47:16 AM,2,3/31/2022,10:47:21 AM,3,3/31/2022,10:47:25 AM
SKT_05,8, ,Na 589.592,Na,589.595,3500598.888,0.4021028851,14076.00913,0.9560943364,0.9560943364,0.956,0.956,0.3652518938,0.00349215267,0.00349215267,mg/L,mg/L,1,3/31/2022,10:47:33 AM,2,3/31/2022,10:47:37 AM,3,3/31/2022,10:47:40 AM
SKT_05,8, ,Fe 238.204,Fe,238.204,24364.21368,0.6991560147,170.3438654,0.06218700618,0.06218700618,0.062,0.062,0.5100325381,0.000317173966,0.000317173966,mg/L,mg/L,1,3/31/2022,10:47:47 AM,2,3/31/2022,10:47:55 AM,3,3/31/2022,10:48:02 AM
SKT_05,8, ,Zn 206.200,Zn,206.201,11191.89954,0.3519999857,39.39548477,0.1122955827,0.1122955827,0.112,0.112,0.3371570832,0.0003786125111,0.0003786125111,mg/L,mg/L,1,3/31/2022,10:48:10 AM,2,3/31/2022,10:48:20 AM,3,3/31/2022,10:48:28 AM
SKT_06,9, ,Cd 228.802,Cd,228.801,2078.554605,1.331829418,27.6828017,0.005334703955,0.005334703955,0.005,0.005,1.540084309,8.215893858e-005,8.215893858e-005,mg/L,mg/L,1,3/31/2022,10:50:47 AM,2,3/31/2022,10:50:56 AM,3,3/31/2022,10:51:05 AM
SKT_06,9, ,K 766.490,K,766.493,198025.9091,0.6072793775,1202.570508,0.2776163086,0.2776163086,0.278,0.278,0.4532111176,0.001258187975,0.001258187975,mg/L,mg/L,1,3/31/2022,10:51:19 AM,2,3/31/2022,10:51:22 AM,3,3/31/2022,10:51:25 AM
SKT_06,9, ,Na 589.592,Na,589.595,1467934.731,0.9030176628,13255.70989,0.4518055496,0.4518055496,0.452,0.452,0.7278889257,0.003288642561,0.003288642561,mg/L,mg/L,1,3/31/2022,10:51:32 AM,2,3/31/2022,10:51:36 AM,3,3/31/2022,10:51:39 AM
SKT_06,9, ,Fe 238.204,Fe,238.204,583575.985,0.433778956,2531.429815,1.103418605,1.103418605,1.103,1.103,0.4271659461,0.004713428524,0.004713428524,mg/L,mg/L,1,3/31/2022,10:51:45 AM,2,3/31/2022,10:51:50 AM,3,3/31/2022,10:51:52 AM
SKT_06,9, ,Zn 206.200,Zn,206.201,4098.237828,0.7590396475,31.10724996,0.04412154981,0.04412154981,0.044,0.044,0.6775781175,0.0002989579666,0.0002989579666,mg/L,mg/L,1,3/31/2022,10:51:56 AM,2,3/31/2022,10:52:04 AM,3,3/31/2022,10:52:11 AM
SKT_07,10, ,Cd 228.802,Cd,228.801,2146.281782,0.4053256654,8.699430915,0.005535709369,0.005535709369,0.006,0.006,0.4664040797,2.581877434e-005,2.581877434e-005,mg/L,mg/L,1,3/31/2022,10:54:30 AM,2,3/31/2022,10:54:39 AM,3,3/31/2022,10:54:48 AM
SKT_07,10, ,K 766.490,K,766.493,83532581.99,0.4388786784,366606.6918,87.46629724,87.46629724,87.47,87.47,0.4385252728,0.3835618186,0.3835618186,mg/L,mg/L,1,3/31/2022,10:55:02 AM,2,3/31/2022,10:55:09 AM,3,3/31/2022,10:55:17 AM
SKT_07,10, ,Na 589.592,Na,589.595,13984572.83,0.572814789,80105.70135,3.557089922,3.557089922,3.557,3.557,0.5587046234,0.01987362585,0.01987362585,mg/L,mg/L,1,3/31/2022,10:55:29 AM,2,3/31/2022,10:55:34 AM,3,3/31/2022,10:55:37 AM
SKT_07,10, ,Fe 238.204,Fe,238.204,51265.47768,0.4739315186,242.9632569,0.112276163,0.112276163,0.112,0.112,0.4029248686,0.0004523885825,0.0004523885825,mg/L,mg/L,1,3/31/2022,10:55:45 AM,2,3/31/2022,10:55:53 AM,3,3/31/2022,10:56:00 AM
SKT_07,10, ,Zn 206.200,Zn,206.201,74910.62538,0.3215697003,240.8898735,0.7246679633,0.7246679633,0.725,0.725,0.3194684639,0.002315085611,0.002315085611,mg/L,mg/L,1,3/31/2022,10:56:08 AM,2,3/31/2022,10:56:16 AM,3,3/31/2022,10:56:22 AM
SKT_08,11, ,Cd 228.802,Cd,228.801,2138.114589,2.692606795,57.57101871,0.005511470206,0.005511470206,0.006,0.006,3.100139441,0.0001708632616,0.0001708632616,mg/L,mg/L,1,3/31/2022,10:58:40 AM,2,3/31/2022,10:58:48 AM,3,3/31/2022,10:58:57 AM
SKT_08,11, ,K 766.490,K,766.493,114135968.4,0.4069885752,464520.3515,119.4850541,119.4850541,119.5,119.5,0.4067486708,0.4860038694,0.4860038694,mg/L,mg/L,1,3/31/2022,10:59:11 AM,2,3/31/2022,10:59:21 AM,3,3/31/2022,10:59:28 AM
SKT_08,11, ,Na 589.592,Na,589.595,12700741.06,0.7684819884,97602.90745,3.238580854,3.238580854,3.239,3.239,0.7476902079,0.02421455192,0.02421455192,mg/L,mg/L,1,3/31/2022,10:59:39 AM,2,3/31/2022,10:59:44 AM,3,3/31/2022,10:59:47 AM
SKT_08,11, ,Fe 238.204,Fe,238.204,57481.07237,0.221812085,127.4999651,0.1238493701,0.1238493701,0.124,0.124,0.1916846335,0.0002374002111,0.0002374002111,mg/L,mg/L,1,3/31/2022,10:59:55 AM,2,3/31/2022,11:00:03 AM,3,3/31/2022,11:00:10 AM
SKT_08,11, ,Zn 206.200,Zn,206.201,28666.64175,0.4756477043,136.3522234,0.2802375707,0.2802375707,0.280,0.280,0.4676106314,0.001310420674,0.001310420674,mg/L,mg/L,1,3/31/2022,11:00:19 AM,2,3/31/2022,11:00:26 AM,3,3/31/2022,11:00:33 AM
SKT_09,12, ,Cd 228.802,Cd,228.801,1825.058289,2.11089283,38.52502456,0.004582360009,0.004582360009,0.005,0.005,2.495160555,0.0001143372395,0.0001143372395,mg/L,mg/L,1,3/31/2022,11:02:50 AM,2,3/31/2022,11:02:59 AM,3,3/31/2022,11:03:09 AM
SKT_09,12, ,K 766.490,K,766.493,2605993.598,0.2094136544,5457.306427,2.796949661,2.796949661,2.797,2.797,0.2041402635,0.005709700408,0.005709700408,mg/L,mg/L,1,3/31/2022,11:03:23 AM,2,3/31/2022,11:03:25 AM,3,3/31/2022,11:03:27 AM
SKT_09,12, ,Na 589.592,Na,589.595,2726716.472,0.7087712681,19326.18292,0.7640998925,0.7640998925,0.764,0.764,0.6274940749,0.004794681552,0.004794681552,mg/L,mg/L,1,3/31/2022,11:03:34 AM,2,3/31/2022,11:03:37 AM,3,3/31/2022,11:03:41 AM
SKT_09,12, ,Fe 238.204,Fe,238.204,701726.9659,0.7348181981,5156.417447,1.323411354,1.323411354,1.323,1.323,0.725478001,0.009601058238,0.009601058238,mg/L,mg/L,1,3/31/2022,11:03:47 AM,2,3/31/2022,11:03:51 AM,3,3/31/2022,11:03:54 AM
SKT_09,12, ,Zn 206.200,Zn,206.201,6631.87713,0.3691011346,24.47833373,0.06847123213,0.06847123213,0.068,0.068,0.3435755264,0.0002352503962,0.0002352503962,mg/L,mg/L,1,3/31/2022,11:03:58 AM,2,3/31/2022,11:04:06 AM,3,3/31/2022,11:04:15 AM
SKT_10,13, ,Cd 228.802,Cd,228.801,2152.570164,0.7777341435,16.74127313,0.005554372464,0.005554372464,0.006,0.006,0.8945369013,4.968591132e-005,4.968591132e-005,mg/L,mg/L,1,3/31/2022,11:06:34 AM,2,3/31/2022,11:06:43 AM,3,3/31/2022,11:06:52 AM
SKT_10,13, ,K 766.490,K,766.493,71821571.61,0.1232407472,88513.44148,75.21366645,75.21366645,75.21,75.21,0.1231253415,0.09260708368,0.09260708368,mg/L,mg/L,1,3/31/2022,11:07:06 AM,2,3/31/2022,11:07:15 AM,3,3/31/2022,11:07:22 AM
SKT_10,13, ,Na 589.592,Na,589.595, , , ,13.26297509,13.26297509,13.26,13.26,0.583505977,0.07739025236,0.07739025236,mg/L,mg/L,1,3/31/2022,11:07:34 AM,2,3/31/2022,11:07:42 AM,3,3/31/2022,11:07:50 AM
