Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,Zn,0.054405813,0.054,0.0471641,0.047259122,25.637860036166366,0.40507818857142863
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,Zn,0.024194308,0.024,0.016952595,0.017047617,34.79105510204082,0.14612243142857145
66,0,1,1,1,root,0.00109,0.7,SKT_39,Zn,0.034790262,0.035,0.027548549,0.027643571000000002,217.38063695937092,0.2369448942857143
67,0,1,1,2,old leaf,0.02225,0.5,SKT_40,Zn,0.189881098,0.19,0.182639385,0.182734407,98.55338804494382,2.192812884
68,0,1,1,2,young leaf,0.01885,0.7,SKT_41,Zn,0.083934382,0.084,0.076692669,0.076787691,34.916721940128845,0.6581802085714287
69,0,1,1,2,root,0.00414,0.7,SKT_42,Zn,0.701791338,0.702,0.694549625,0.6946446470000001,1438.1876749482406,5.954096974285715
70,0,1,1,3,old leaf,0.05336,0.5,SKT_43,Zn,0.323241935,0.323,0.316000222,0.316095244,71.08588695652175,3.793142928
71,0,1,1,3,young leaf,0.01974,0.7,SKT_44,Zn,0.098539225,0.099,0.091297512,0.091392534,39.684122448979586,0.7833645771428571
72,0,1,1,3,root,0.00194,0.7,SKT_45,Zn,0.049327472,0.049,0.042085759,0.042180781,186.36574815905746,0.3615495514285715
73,0,1,2,1,old leaf,0.01725,0.7,SKT_46,Zn,0.05277526,0.053,0.045533547,0.045628568999999994,22.672580869565213,0.39110201999999994
74,0,1,2,1,young leaf,0.01065,0.7,SKT_47,Zn,0.058424327,0.058,0.051182614,0.051277636,41.269727162977865,0.4395225942857143
75,0,1,2,1,root,9e-4,0.7,SKT_48,Zn,0.044906212,0.045,0.037664499,0.037759521000000004,359.61448571428576,0.3236530371428572
76,0,1,2,2,old leaf,0.06388,0.4,SKT_49,Zn,0.256588065,0.257,0.249346352,0.24944137399999997,58.57264574201626,3.741620609999999
77,0,1,2,2,young leaf,0.02182,0.5,SKT_50,Zn,0.072315299,0.072,0.065073586,0.065168608,35.8397477543538,0.782023296
78,0,1,2,2,root,0.00432,0.7,SKT_51,Zn,0.627924663,0.628,0.62068295,0.6207779720000001,1231.7023253968257,5.320954045714287
79,0,1,2,3,old leaf,0.09999,0.4,SKT_52,Zn,0.423256284,0.423,0.416014571,0.416109593,62.42268121812181,6.241643894999999
80,0,1,2,3,young leaf,0.04808,0.5,SKT_53,Zn,0.199657036,0.2,0.192415323,0.192510345,48.04750707154743,2.31012414
81,0,1,2,3,root,0.00432,0.7,SKT_54,Zn,0.157675865,0.158,0.150434152,0.150529174,298.6689960317461,1.290250062857143
