Cap,Salt,Cadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,ConcCor,CorConc,ugElementPermgDW,ugElement
6,1,0,0,2,root,8.7e-4,0.7,SKT_06,K,0.277616309,0.278,0.20197612,0.184690501,1.819610847290641,1.5830614371428575
7,1,0,0,3,old leaf,0.06652,0.4,SKT_07,K,87.46629724,87.47,87.39065705,87.373371432,19.702353750450992,1310.6005714799999
8,1,0,0,3,young leaf,0.04741,0.5,SKT_08,K,119.4850541,119.5,119.4094139,119.392128292,30.219479846108413,1432.705539504
9,1,0,0,3,root,0.00169,0.7,SKT_09,K,2.796949661,2.797,2.721309472,2.7040238530000003,13.714406693153,23.177347311428573
10,1,0,1,1,old leaf,0.06685,0.4,SKT_10,K,75.21366645,75.21,75.13802626,75.120740642,16.85581315826477,1126.81110963
11,1,0,1,1,young leaf,0.0075,0.7,SKT_11,K,18.7694513,18.77,18.69381111,18.676525492,21.344600562285716,160.08450421714286
12,1,0,1,1,root,0.00146,0.7,SKT_12,K,1.65768861,1.658,1.582048421,1.564762802,9.186474375733857,13.41225258857143
13,1,0,1,2,old leaf,0.01357,0.7,SKT_13,K,14.46999875,14.47,14.39435856,14.377072942,9.0812125120539,123.23205378857143
14,1,0,1,2,young leaf,0.00244,0.7,SKT_14,K,2.962221107,2.962,2.886580918,2.869295299,10.079491682669788,24.593959705714283
15,1,0,1,2,root,8.6e-4,0.7,SKT_15,K,0.279112333,0.279,0.203472144,0.186186525,1.8556796511627907,1.5958845
16,1,0,1,3,old leaf,0.03447,0.5,SKT_16,K,78.21248987,78.21,78.13684968,78.119564062,27.19567069173194,937.4347687439999
17,1,0,1,3,young leaf,0.01089,0.7,SKT_17,K,32.06982974,32.07,31.99418955,31.976903932000003,25.168755554506106,274.0877479885715
18,1,0,1,3,root,0.0102,0.7,SKT_18,K,4.035383729,4.035,3.95974354,3.9424579210000004,3.312989849579832,33.79249646571429
19,1,0,2,1,old leaf,0.03178,0.5,SKT_19,K,47.06255836,47.06,46.98691817,46.969632552,17.735544072498424,563.635590624
20,1,0,2,1,young leaf,0.00796,0.7,SKT_20,K,25.573736,25.57,25.49809581,25.480810192,27.438058354630293,218.40694450285713
21,1,0,2,1,root,0.00145,0.7,SKT_21,K,0.665214047,0.665,0.56263198699999994,0.5722882389999999,3.382984664039409,4.905327762857143
22,1,0,2,2,old leaf,0.01486,0.7,SKT_22,K,19.22581172,19.23,19.12322966,19.132885912,11.036081087483177,163.99616496000002
23,1,0,2,2,young leaf,0.00285,0.7,SKT_23,K,4.551212673,4.551,4.448630613,4.458286865,13.40838154887218,38.213887414285715
24,1,0,2,2,root,0.00329,0.7,SKT_24,K,0.74272545,0.743,0.64014339,0.6497996420000001,1.6929213425966134,5.569711217142858
25,1,0,2,3,old leaf,0.03215,0.5,SKT_25,K,72.83250429,72.83,72.72992223,72.739578482,27.150075949735612,872.8749417839999
26,1,0,2,3,young leaf,0.0097,0.7,SKT_26,K,30.71442691,30.71,30.61184485,30.621501102,27.058763860382914,262.4700094457143
27,1,0,2,3,root,0.0043,0.7,SKT_27,K,1.286258954,1.286,1.183676894,1.193333146,2.378737168106313,10.228569822857144
55,0,1,0,1,old leaf,0.01027,0.7,SKT_28,K,13.28787273,13.29,13.18529067,13.194946922,11.01261392850188,113.0995450457143
56,0,1,0,1,young leaf,0.01377,0.7,SKT_29,K,26.39100508,26.39,26.28842302,26.298079272,16.36979724369748,225.4121080457143
57,0,1,0,1,root,0.00161,0.7,SKT_30,K,0.98226904,0.982,0.87968698,0.8893432320000001,4.734746576752442,7.622941988571431
58,0,1,0,2,old leaf,0.04048,0.5,SKT_31,K,40.90189842,40.9,40.79931636,40.808972612000005,12.097521525296443,489.70767134400006
59,0,1,0,2,young leaf,0.02221,0.5,SKT_32,K,20.46364949,20.46,20.36106743,20.370723682,11.006244222602431,244.448684184
60,0,1,0,2,root,0.00136,0.7,SKT_33,K,0.576018235,0.576,0.473436175,0.48309242700000005,3.0447001701680674,4.140792231428572
61,0,1,0,3,old leaf,0.06928,0.4,SKT_34,K,51.41162009,51.41,51.30903803,51.318694282,11.111149166137414,769.78041423
62,0,1,0,3,young leaf,0.02692,0.5,SKT_35,K,31.18197728,31.18,31.07939522,31.089051472,13.858418189598813,373.06861766400004
63,0,1,0,3,root,0.00205,0.7,SKT_36,K,0.999891758,1,0.897309698,0.90696595,3.79219212543554,7.773993857142858
64,0,1,1,1,old leaf,0.0158,0.7,SKT_37,K,27.68378221,27.68,27.58120015,27.590856402,14.96791486546112,236.49305487428572
65,0,1,1,1,young leaf,0.0042,0.7,SKT_38,K,6.404442253,6.404,6.3018601930000004,6.311516445,12.880645806122448,54.098712385714286
