Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,K,19.97947634,19.98,19.932004885,22.303623519209253,170.8457561571429
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,K,2.045874858,2.046,1.998403403,4.147499279833967,17.129172025714286
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,K,29.91204354,29.91,29.864572085,3.0744901086098624,255.98204644285715
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,K,40.12553205,40.13,40.078060595,15.794309594088668,343.52623367142854
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,K,0.363329625,0.363,0.31585817,1.0333418865866957,2.7073557428571426
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,K,54.45747417,54.46,54.410002715,27.498316736017518,466.37145184285714
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,K,39.60379047,39.6,39.556319015,15.72607434998675,339.0541629857143
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,K,0.660730373,0.661,0.613258918,1.555178997464074,5.256505011428571
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,K,42.95484613,42.95,42.907374675,17.588593840951017,367.77749721428575
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,K,18.11536522,18.12,18.067893765,19.88031589767101,154.86766084285716
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,K,0.54754688,0.548,0.5000754249999999,2.255979360902255,4.286360785714285
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,K,77.20033298,77.2,77.152861525,8.226274930250742,661.3102416428572
95,1,1,1,2,young leaf,0.147,0.02439,0.7,SKT_41,K,36.31522871,36.32,36.267757255,12.745653577578635,310.86649075714286
96,1,1,1,2,root,0.212,8.6e-4,0.9,SKT_42,K,0.273986214,0.274,0.226514759,1.7559283643410855,1.5100983933333334
97,1,1,1,3,old leaf,0.134,0.02143,0.7,SKT_43,K,59.55135398,59.55,59.503882525,23.799966345576966,510.03327878571434
98,1,1,1,3,young leaf,0.06,0.01283,0.7,SKT_44,K,21.76060446,21.76,21.713133005,14.50604587796459,186.1125686142857
99,1,1,1,3,root,0.425,0.00403,0.7,SKT_45,K,0.393209845,0.393,0.34573839,0.7353528323289615,2.9634719142857144
100,1,1,2,1,old leaf,NA,0.01067,0.7,SKT_46,K,42.48089737,42.48,42.433425915,34.08763629535413,363.7150792714286
101,1,1,2,1,young leaf,NA,0.0064,0.7,SKT_47,K,20.91934849,20.92,20.871877035,27.95340674330357,178.90180315714287
102,1,1,2,1,root,NA,0.00558,0.7,SKT_48,K,0.840810104,0.841,0.793338649,1.218646158218126,6.800045562857143
103,1,1,2,2,old leaf,NA,0.08275,0.7,SKT_49,K,87.74578687,87.75,87.69831541500001,9.083986059387138,751.6998464142857
104,1,1,2,2,young leaf,NA,0.02628,0.7,SKT_50,K,40.8320166,40.83,40.784545145,13.302199982061317,349.58181552857144
105,1,1,2,2,root,NA,0.01388,0.7,SKT_51,K,2.100492145,2.1,2.05302069,1.2678184582132563,17.5973202
106,1,1,2,3,old leaf,NA,0.02069,0.7,SKT_52,K,52.50185063,52.5,52.454379175,21.730737764965824,449.6089643571429
107,1,1,2,3,young leaf,NA,0.01375,0.7,SKT_53,K,24.50101506,24.5,24.453543605,15.243767442077925,209.60180232857147
108,1,1,2,3,root,NA,0.00681,0.7,SKT_54,K,0.542964982,0.543,0.495493527,0.6236545336689742,4.247087374285714
28,0,0,0,1,old leaf,0.045,0.00567,0.7,SKT_01,Fe,0.054628782,0.055,0.033039659,0.049946574452003026,0.28319707714285713
29,0,0,0,1,young leaf,0.022,0.0034,0.7,SKT_02,Fe,0.065591387,0.066,0.044002264,0.11093007731092436,0.3771622628571428
30,0,0,0,1,root,0,4.4e-4,0.9,SKT_03,Fe,0.148504697,0.149,0.12691557399999998,1.922963242424242,0.8461038266666665
31,0,0,0,2,old leaf,0.241,0.02381,0.7,SKT_04,Fe,0.067134661,0.067,0.045545537999999997,0.01639606575868482,0.39039032571428567
32,0,0,0,2,young leaf,0.055,0.00592,0.7,SKT_05,Fe,0.063116395,0.063,0.041527272000000004,0.06012635907335908,0.35594804571428573
33,0,0,0,2,root,0.075,6.6e-4,0.9,SKT_06,Fe,0.657769733,0.658,0.6361806099999999,6.426066767676767,4.241204066666667
34,0,0,0,3,old leaf,0.385,0.04599,0.7,SKT_07,Fe,0.146591075,0.147,0.12500195199999997,0.023297353834684554,1.0714453028571427
35,0,0,0,3,young leaf,0.114,0.01297,0.7,SKT_08,Fe,0.059422237,0.059,0.037833114,0.025002608657341115,0.3242838342857143
36,0,0,0,3,root,0.087,0.00181,0.7,SKT_09,Fe,1.357710281,1.358,1.3361211579999999,6.327329872138909,11.452467068571426
37,0,0,1,1,old leaf,0.054,0.0067,0.7,SKT_10,Fe,0.055182942,0.055,0.033593819,0.042977167164179104,0.28794702
38,0,0,1,1,young leaf,0.037,0.00494,0.7,SKT_11,Fe,0.027077949,0.027,0.005488825999999999,0.0095237004048583,0.04704707999999999
39,0,0,1,1,root,0.015,4.5e-4,0.9,SKT_12,Fe,0.278125616,0.278,0.25653649300000003,3.8005406370370376,1.710243286666667
40,0,0,1,2,old leaf,0.188,0.02266,0.7,SKT_13,Fe,0.075399874,0.075,0.053810751000000004,0.020354589963434627,0.46123500857142863
41,0,0,1,2,young leaf,0.147,0.0201,0.7,SKT_14,Fe,0.068902461,0.069,0.047313337999999996,0.02017626353944563,0.4055428971428572
42,0,0,1,2,root,0.081,0.00206,0.7,SKT_15,Fe,0.974981617,0.975,0.9533924939999999,3.9669590596393896,8.171935662857143
43,0,0,1,3,old leaf,0.516,0.05449,0.7,SKT_16,Fe,0.178712712,0.179,0.157123589,0.02471597761057075,1.34677362
44,0,0,1,3,young leaf,0.304,0.03535,0.7,SKT_17,Fe,0.137595729,0.138,0.116006606,0.028128496100222267,0.9943423371428571
