Cap,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
2,10,0,1,shoot,0.026,0.5,SKT_02,Na,1.132056547,1.132,0.946594601,436.8898158,11.35913521
3,10,0,1,root,0.0029,0.7,SKT_03,Na,1.179705789,1.18,0.994243843,2938.651753,8.522090083
4,10,0,2,shoot,0.04946,0.5,SKT_04,Na,3.771481705,3.771,3.586019759,870.041187,43.03223711
5,10,0,2,shoot,0.01384,0.7,SKT_05,Na,0.956094336,0.956,0.77063239,477.2702663,6.605420486
6,10,0,2,root,8.70E-04,0.7,SKT_06,Na,0.45180555,0.452,0.266343604,2624.074916,2.282945177
7,10,0,3,shoot,0.06652,0.4,SKT_07,Na,3.557089922,3.557,3.371627976,760.2889302,50.57441964
8,10,0,3,shoot,0.04741,0.5,SKT_08,Na,3.238580854,3.239,3.053118908,772.7784623,36.6374269
9,10,0,3,root,0.00169,0.7,SKT_09,Na,0.764099893,0.764,0.578637947,2934.765581,4.959753831
10,10,1,1,shoot,0.06685,0.4,SKT_10,Na,13.26297509,13.26,13.07751314,2934.370937,196.1626972
11,10,1,1,shoot,0.0075,0.7,SKT_11,Na,5.23916047,5.239,5.053698524,5775.655456,43.31741592
12,10,1,1,root,0.00146,0.7,SKT_12,Na,1.262332758,1.262,1.076870812,6322.13784,9.230321246
13,10,1,2,shoot,0.01357,0.7,SKT_13,Na,0.596761556,0.597,0.41129961,259.7955216,3.525425229
14,10,1,2,shoot,0.00244,0.7,SKT_14,Na,0.241878751,0.242,0.056416805,198.1854977,0.483572614
15,10,1,2,root,8.60E-04,0.7,SKT_15,Na,0.558571153,0.559,0.373109207,3718.696415,3.198078917
16,10,1,3,shoot,0.03447,0.5,SKT_16,Na,11.90311001,11.9,11.71764806,4079.250849,140.6117768
17,10,1,3,shoot,0.01089,0.7,SKT_17,Na,13.33419635,13.33,13.1487344,10349.25966,112.7034377
18,10,1,3,root,0.0102,0.7,SKT_18,Na,8.749809205,8.75,8.564347259,7196.93047,73.40869079
19,10,2,1,shoot,0.03178,0.5,SKT_19,Na,9.185194819,9.185,8.999732873,3398.262885,107.9967945
20,10,2,1,shoot,0.00796,0.7,SKT_20,Na,13.6471541,13.65,13.46169215,14495.72019,115.3859327
21,10,2,1,root,0.00145,0.7,SKT_21,Na,0.959356943,0.959,0.773894997,4574.748751,6.633385689
22,10,2,2,shoot,0.01486,0.7,SKT_22,Na,0.735566293,0.736,0.550104347,317.3068719,4.715180117
23,10,2,2,shoot,0.00285,0.7,SKT_23,Na,0.291919183,0.292,0.106457237,320.1721414,0.912490603
24,10,2,2,root,0.00329,0.7,SKT_24,Na,0.669321409,0.669,0.483859463,1260.597819,4.147366826
25,10,2,3,shoot,0.03215,0.5,SKT_25,Na,16.52363695,16.52,16.338175,6098.230173,196.0581
