Cap,Salt,Cadmium,Timepoint,Plant,TissueType,WetWeight,DryWeight,VolDigestUsed,Sample,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
53,0,0,2,3,young leaf,0.115,0.01395,0.7,SKT_26,K,30.61299849,30.61,30.565527035,18780.661772657448,261.9902317285714
54,0,0,2,3,root,0.165,0.0067,0.7,SKT_27,K,3.060386312,3.06,3.0129148569999997,3854.4752968017056,25.824984488571427
82,1,1,0,1,old leaf,0.24,0.02167,0.7,SKT_28,K,61.3587165,61.36,61.311245045,24251.267075614745,525.5249575285715
83,1,1,0,1,young leaf,0.078,0.00766,0.7,SKT_29,K,19.97947634,19.98,19.932004885,22303.623519209254,170.8457561571429
84,1,1,0,1,root,0.324,0.00413,0.7,SKT_30,K,2.045874858,2.046,1.998403403,4147.499279833967,17.129172025714286
85,1,1,0,2,old leaf,0.668,0.08326,0.7,SKT_31,K,29.91204354,29.91,29.864572085,3074.490108609863,255.98204644285718
86,1,1,0,2,young leaf,0.165,0.02175,0.7,SKT_32,K,40.12553205,40.13,40.078060595,15794.30959408867,343.52623367142854
87,1,1,0,2,root,0.357,0.00262,0.7,SKT_33,K,0.363329625,0.363,0.31585817,1033.3418865866956,2.7073557428571426
88,1,1,0,3,old leaf,0.123,0.01696,0.7,SKT_34,K,54.45747417,54.46,54.410002715,27498.316736017525,466.3714518428572
89,1,1,0,3,young leaf,0.117,0.02156,0.7,SKT_35,K,39.60379047,39.6,39.556319015,15726.07434998675,339.0541629857143
90,1,1,0,3,root,0.333,0.00338,0.7,SKT_36,K,0.660730373,0.661,0.613258918,1555.1789974640744,5.256505011428572
91,1,1,1,1,old leaf,0.224,0.02091,0.7,SKT_37,K,42.95484613,42.95,42.907374675,17588.593840951016,367.77749721428575
92,1,1,1,1,young leaf,0.084,0.00779,0.7,SKT_38,K,18.11536522,18.12,18.067893765,19880.315897671007,154.86766084285716
93,1,1,1,1,root,0.232,0.0019,0.7,SKT_39,K,0.54754688,0.548,0.5000754249999999,2255.9793609022554,4.286360785714285
94,1,1,1,2,old leaf,0.539,0.08039,0.7,SKT_40,K,77.20033298,77.2,77.152861525,8226.274930250744,661.3102416428572
