Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
SKT_36,42, ,Zn 206.200,Zn,206.201,12932.72024,0.6936925231,89.71331332,0.1228630964,0.1228630964,0.123,0.123,0.6729815777,0.0008268460047,0.0008268460047,mg/L,mg/L,1,4/25/2022,2:19:55 PM,2,4/25/2022,2:20:04 PM,3,4/25/2022,2:20:12 PM
SKT_37,43, ,Cd 228.802,Cd,228.801,3654.938459,1.801668945,65.84989119,0.009507669362,0.009507669362,0.010,0.010,1.938563668,0.0001843122239,0.0001843122239,mg/L,mg/L,1,4/25/2022,2:22:32 PM,2,4/25/2022,2:22:40 PM,3,4/25/2022,2:22:48 PM
SKT_37,43, ,K 766.490,K,766.493,42551741.54,0.2698624265,114831.1622,42.95484613,42.95484613,42.95,42.95,0.2691981611,0.1156336559,0.1156336559,mg/L,mg/L,1,4/25/2022,2:23:01 PM,2,4/25/2022,2:23:08 PM,3,4/25/2022,2:23:14 PM
SKT_37,43, ,Na 589.592,Na,589.595,100330914,0.2455620453,246374.6445,25.20815017,25.20815017,25.21,25.21,0.2446969373,0.06168357142,0.06168357142,mg/L,mg/L,1,4/25/2022,2:23:25 PM,2,4/25/2022,2:23:33 PM,3,4/25/2022,2:23:41 PM
SKT_37,43, ,Fe 238.204,Fe,238.204,83716.94206,0.230450962,192.9264984,0.1666784791,0.1666784791,0.167,0.167,0.2144781189,0.0003574888665,0.0003574888665,mg/L,mg/L,1,4/25/2022,2:23:52 PM,2,4/25/2022,2:24:00 PM,3,4/25/2022,2:24:07 PM
SKT_37,43, ,Zn 206.200,Zn,206.201,17866.98543,0.3013520703,53.84253048,0.1683399304,0.1683399304,0.168,0.168,0.2947854576,0.0004962416342,0.0004962416342,mg/L,mg/L,1,4/25/2022,2:24:15 PM,2,4/25/2022,2:24:24 PM,3,4/25/2022,2:24:31 PM
SKT_38,44, ,Cd 228.802,Cd,228.801,2946.27127,1.011145855,29.79109982,0.00752412735,0.00752412735,0.008,0.008,1.108228914,8.33845548e-005,8.33845548e-005,mg/L,mg/L,1,4/25/2022,2:26:51 PM,2,4/25/2022,2:26:59 PM,3,4/25/2022,2:27:06 PM
SKT_38,44, ,K 766.490,K,766.493,17884645.79,0.4853749767,86807.59534,18.11536522,18.11536522,18.12,18.12,0.4825420089,0.08741424726,0.08741424726,mg/L,mg/L,1,4/25/2022,2:27:19 PM,2,4/25/2022,2:27:24 PM,3,4/25/2022,2:27:28 PM
SKT_38,44, ,Na 589.592,Na,589.595,36513291.32,0.9716814453,354792.8768,9.230455333,9.230455333,9.230,9.230,0.962332753,0.08882769492,0.08882769492,mg/L,mg/L,1,4/25/2022,2:27:36 PM,2,4/25/2022,2:27:42 PM,3,4/25/2022,2:27:48 PM
SKT_38,44, ,Fe 238.204,Fe,238.204,51132.405,0.3797378182,194.1690791,0.1062999965,0.1062999965,0.106,0.106,0.3384678788,0.0003597913433,0.0003597913433,mg/L,mg/L,1,4/25/2022,2:27:57 PM,2,4/25/2022,2:28:04 PM,3,4/25/2022,2:28:11 PM
SKT_38,44, ,Zn 206.200,Zn,206.201,7002.958862,0.3220823602,22.55529518,0.06821123573,0.06821123573,0.068,0.068,0.3047616622,0.0002078816958,0.0002078816958,mg/L,mg/L,1,4/25/2022,2:28:20 PM,2,4/25/2022,2:28:29 PM,3,4/25/2022,2:28:36 PM
SKT_39,45, ,Cd 228.802,Cd,228.801,3949.349855,1.175998936,46.44431229,0.01033171961,0.01033171961,0.010,0.010,1.258227007,0.0001299964864,0.0001299964864,mg/L,mg/L,1,4/25/2022,2:36:03 PM,2,4/25/2022,2:36:11 PM,3,4/25/2022,2:36:18 PM
SKT_39,45, ,K 766.490,K,766.493,438747.5125,0.6771753552,2971.090026,0.5475468802,0.5475468802,0.548,0.548,0.5464104529,0.002991853388,0.002991853388,mg/L,mg/L,1,4/25/2022,2:36:31 PM,2,4/25/2022,2:36:34 PM,3,4/25/2022,2:36:37 PM
SKT_39,45, ,Na 589.592,Na,589.595,4982471.833,0.4512934641,22485.56973,1.336243817,1.336243817,1.336,1.336,0.421300222,0.005629598166,0.005629598166,mg/L,mg/L,1,4/25/2022,2:36:43 PM,2,4/25/2022,2:36:47 PM,3,4/25/2022,2:36:49 PM
SKT_39,45, ,Fe 238.204,Fe,238.204,1360091.566,0.307220034,4178.47377,2.531774624,2.531774624,2.532,2.532,0.305818164,0.007742626672,0.007742626672,mg/L,mg/L,1,4/25/2022,2:36:56 PM,2,4/25/2022,2:36:59 PM,3,4/25/2022,2:37:01 PM
SKT_39,45, ,Zn 206.200,Zn,206.201,6126.891102,0.6599080696,40.4318488,0.06013692545,0.06013692545,0.060,0.060,0.6196552242,0.0003726416003,0.0003726416003,mg/L,mg/L,1,4/25/2022,2:37:05 PM,2,4/25/2022,2:37:14 PM,3,4/25/2022,2:37:21 PM
SKT_40,46, ,Cd 228.802,Cd,228.801,3071.826695,0.7750740158,23.80893053,0.007875553894,0.007875553894,0.008,0.008,0.8461704555,6.664061025e-005,6.664061025e-005,mg/L,mg/L,1,4/25/2022,2:39:41 PM,2,4/25/2022,2:39:49 PM,3,4/25/2022,2:39:56 PM
SKT_40,46, ,K 766.490,K,766.493, , , ,77.20033298,77.20033298,77.20,77.20,0.4302314373,0.3321401022,0.3321401022,mg/L,mg/L,1,4/25/2022,2:40:09 PM,2,4/25/2022,2:40:18 PM,3,4/25/2022,2:40:25 PM
SKT_40,46, ,Na 589.592,Na,589.595,24148875.91,0.8556929705,206640.2336,6.134839295,6.134839295,6.135,6.135,0.8433060072,0.0517354683,0.0517354683,mg/L,mg/L,1,4/25/2022,2:40:36 PM,2,4/25/2022,2:40:42 PM,3,4/25/2022,2:40:46 PM
SKT_40,46, ,Fe 238.204,Fe,238.204,760563.1221,0.2125794292,1616.800743,1.420860646,1.420860646,1.421,1.421,0.2108509944,0.002995898801,0.002995898801,mg/L,mg/L,1,4/25/2022,2:40:55 PM,2,4/25/2022,2:40:58 PM,3,4/25/2022,2:41:00 PM
SKT_40,46, ,Zn 206.200,Zn,206.201,80565.52334,0.2551301173,205.5469142,0.7462032782,0.7462032782,0.746,0.746,0.25387594,0.001894430587,0.001894430587,mg/L,mg/L,1,4/25/2022,2:41:04 PM,2,4/25/2022,2:41:12 PM,3,4/25/2022,2:41:18 PM
SKT_41,47, ,Cd 228.802,Cd,228.801,2684.005006,0.9698071784,26.02967322,0.006790050537,0.006790050537,0.007,0.007,1.072987807,7.285641438e-005,7.285641438e-005,mg/L,mg/L,1,4/25/2022,2:43:37 PM,2,4/25/2022,2:43:44 PM,3,4/25/2022,2:43:52 PM
SKT_41,47, ,K 766.490,K,766.493,35958202.84,0.8169879371,293774.1796,36.31522871,36.31522871,36.32,36.32,0.8146092451,0.2958272104,0.2958272104,mg/L,mg/L,1,4/25/2022,2:44:05 PM,2,4/25/2022,2:44:12 PM,3,4/25/2022,2:44:17 PM
SKT_41,47, ,Na 589.592,Na,589.595,3741287.498,0.9103749419,34059.74389,1.025494783,1.025494783,1.025,1.025,0.8315367025,0.008527365505,0.008527365505,mg/L,mg/L,1,4/25/2022,2:44:26 PM,2,4/25/2022,2:44:30 PM,3,4/25/2022,2:44:33 PM
SKT_41,47, ,Fe 238.204,Fe,238.204,119314.3643,0.3190922725,380.7229165,0.2326397764,0.2326397764,0.233,0.233,0.3032464223,0.000705471799,0.000705471799,mg/L,mg/L,1,4/25/2022,2:44:40 PM,2,4/25/2022,2:44:46 PM,3,4/25/2022,2:44:52 PM
SKT_41,47, ,Zn 206.200,Zn,206.201,22477.42388,0.05054008568,11.36010929,0.2108322036,0.2108322036,0.211,0.211,0.04966075264,0.0001047008591,0.0001047008591,mg/L,mg/L,1,4/25/2022,2:45:00 PM,2,4/25/2022,2:45:09 PM,3,4/25/2022,2:45:16 PM
SKT_42,48, ,Cd 228.802,Cd,228.801,8176.842774,1.18371997,96.79092081,0.02216436819,0.02216436819,0.022,0.022,1.222301496,0.0002709154039,0.0002709154039,mg/L,mg/L,1,4/25/2022,2:47:34 PM,2,4/25/2022,2:47:42 PM,3,4/25/2022,2:47:49 PM
SKT_42,48, ,K 766.490,K,766.493,167085.3478,0.6360990474,1062.828306,0.2739862137,0.2739862137,0.274,0.274,0.3906239772,0.001070255845,0.001070255845,mg/L,mg/L,1,4/25/2022,2:48:01 PM,2,4/25/2022,2:48:05 PM,3,4/25/2022,2:48:07 PM
SKT_42,48, ,Na 589.592,Na,589.595,4302092.794,1.22118389,52536.46411,1.165900764,1.165900764,1.166,1.166,1.128165341,0.01315328833,0.01315328833,mg/L,mg/L,1,4/25/2022,2:48:14 PM,2,4/25/2022,2:48:18 PM,3,4/25/2022,2:48:22 PM
SKT_42,48, ,Fe 238.204,Fe,238.204,1903549.538,0.1764476603,3358.768621,3.538791161,3.538791161,3.539,3.539,0.1758716315,0.00622372975,0.00622372975,mg/L,mg/L,1,4/25/2022,2:48:29 PM,2,4/25/2022,2:48:32 PM,3,4/25/2022,2:48:34 PM
SKT_42,48, ,Zn 206.200,Zn,206.201,7233.875228,0.6938565773,50.19271906,0.07033948478,0.07033948478,0.070,0.070,0.6576718843,0.000462603015,0.000462603015,mg/L,mg/L,1,4/25/2022,2:48:38 PM,2,4/25/2022,2:48:47 PM,3,4/25/2022,2:48:55 PM
SKT_43,49, ,Cd 228.802,Cd,228.801,2224.418659,1.671021188,37.1705071,0.005503679667,0.005503679667,0.006,0.006,1.890359548,0.000104039334,0.000104039334,mg/L,mg/L,1,4/25/2022,2:51:14 PM,2,4/25/2022,2:51:22 PM,3,4/25/2022,2:51:29 PM
SKT_43,49, ,K 766.490,K,766.493,59033070.19,0.3692055798,217953.389,59.55135398,59.55135398,59.55,59.55,0.3685500567,0.2194765489,0.2194765489,mg/L,mg/L,1,4/25/2022,2:51:42 PM,2,4/25/2022,2:51:51 PM,3,4/25/2022,2:51:58 PM
SKT_43,49, ,Na 589.592,Na,589.595,4755443.315,0.7729674766,36758.03019,1.279403837,1.279403837,1.279,1.279,0.7193132857,0.009202921776,0.009202921776,mg/L,mg/L,1,4/25/2022,2:52:09 PM,2,4/25/2022,2:52:13 PM,3,4/25/2022,2:52:15 PM
SKT_43,49, ,Fe 238.204,Fe,238.204,361466.7303,0.4167933286,1506.569217,0.6813431716,0.6813431716,0.681,0.681,0.40972628,0.002791642031,0.002791642031,mg/L,mg/L,1,4/25/2022,2:52:22 PM,2,4/25/2022,2:52:26 PM,3,4/25/2022,2:52:29 PM
SKT_43,49, ,Zn 206.200,Zn,206.201,49719.77433,0.3437939641,170.9335831,0.4619123141,0.4619123141,0.462,0.462,0.3410637728,0.001575415566,0.001575415566,mg/L,mg/L,1,4/25/2022,2:52:34 PM,2,4/25/2022,2:52:42 PM,3,4/25/2022,2:52:49 PM
SKT_44,50, ,Cd 228.802,Cd,228.801,1749.686635,2.726436805,47.70410039,0.004174916423,0.004174916423,0.004,0.004,3.198210186,0.0001335226023,0.0001335226023,mg/L,mg/L,1,4/25/2022,2:55:07 PM,2,4/25/2022,2:55:15 PM,3,4/25/2022,2:55:22 PM
SKT_44,50, ,K 766.490,K,766.493,21504587.19,0.3191568891,68633.37146,21.76060446,21.76060446,21.76,21.76,0.3176061289,0.06911301344,0.06911301344,mg/L,mg/L,1,4/25/2022,2:55:35 PM,2,4/25/2022,2:55:41 PM,3,4/25/2022,2:55:45 PM
SKT_44,50, ,Na 589.592,Na,589.595,1475434.991,0.4117262506,6074.753169,0.4582047717,0.4582047717,0.458,0.458,0.3319269606,0.001520905172,0.001520905172,mg/L,mg/L,1,4/25/2022,2:55:54 PM,2,4/25/2022,2:55:57 PM,3,4/25/2022,2:55:59 PM
SKT_44,50, ,Fe 238.204,Fe,238.204,44114.51662,0.3928066576,173.2847583,0.09329599248,0.09329599248,0.093,0.093,0.3441660399,0.0003210931227,0.0003210931227,mg/L,mg/L,1,4/25/2022,2:56:06 PM,2,4/25/2022,2:56:13 PM,3,4/25/2022,2:56:20 PM
