Cap,Salt,Cadmium,SaltCadmium,Timepoint,Plant,TissueType,DryWeight,VolDigestUsed,Element,ConcSamp,ConcRep,CorConc,ugElementPermgDW,ugElement
80,0,1,01,2,3,young leaf,0.04808,0.5,K,48.06472847,48.06,47.97180266,11.97299567,575.6616319
81,0,1,01,2,3,root,0.00432,0.7,K,1.410699637,1.411,1.317773829,2.614630613,11.29520425
1,1,0,10,0,1,old leaf,0.10951,0.4,Fe,0.197924103,0.198,0.170874151,0.02340528,2.563112265
2,1,0,10,0,1,young leaf,0.026,0.5,Fe,0.094855086,0.095,0.067805134,0.031294677,0.813661608
3,1,0,10,0,1,root,0.0029,0.7,Fe,2.048383736,2.048,2.021333784,5.974385568,17.32571815
4,1,0,10,0,2,old leaf,0.04946,0.5,Fe,0.103601682,0.104,0.07655173,0.018573004,0.91862076
5,1,0,10,0,2,young leaf,0.01384,0.7,Fe,0.062187006,0.062,0.035137054,0.021761181,0.301174749
6,1,0,10,0,2,root,8.70E-04,0.7,Fe,1.103418605,1.103,1.076368653,10.60461727,9.226017026
7,1,0,10,0,3,old leaf,0.06652,0.4,Fe,0.112276163,0.112,0.085226211,0.019218177,1.278393165
8,1,0,10,0,3,young leaf,0.04741,0.5,Fe,0.12384937,0.124,0.096799418,0.024501013,1.161593016
9,1,0,10,0,3,root,0.00169,0.7,Fe,1.323411354,1.323,1.296361402,6.574952166,11.11166916
10,1,0,10,1,1,old leaf,0.06685,0.4,Fe,0.098948901,0.099,0.071898949,0.016132898,1.078484235
11,1,0,10,1,1,young leaf,0.0075,0.7,Fe,0.05712658,0.057,0.030076628,0.034373289,0.257799669
12,1,0,10,1,1,root,0.00146,0.7,Fe,1.307073742,1.307,1.28002379,7.514816771,10.97163249
13,1,0,10,1,2,old leaf,0.01357,0.7,Fe,0.062631413,0.063,0.035581461,0.022474867,0.304983951
14,1,0,10,1,2,young leaf,0.00244,0.7,Fe,0.037249279,0.037,0.010199327,0.035829018,0.087422803
15,1,0,10,1,2,root,8.60E-04,0.7,Fe,1.813194486,1.813,1.786144534,17.80210499,15.30981029
16,1,0,10,1,3,old leaf,0.03447,0.5,Fe,0.100243544,0.1,0.073193592,0.025480798,0.878323104
17,1,0,10,1,3,young leaf,0.01089,0.7,Fe,0.107704707,0.108,0.080654755,0.063482688,0.691326471
18,1,0,10,1,3,root,0.0102,0.7,Fe,13.74116224,13.74,13.71411229,11.52446411,117.5495339
19,1,0,10,2,1,old leaf,0.03178,0.5,Fe,0.081497696,0.081,0.054447744,0.020559249,0.653372928
20,1,0,10,2,1,young leaf,0.00796,0.7,Fe,0.058187901,0.058,0.031137949,0.033529737,0.266896706
21,1,0,10,2,1,root,0.00145,0.7,Fe,0.902816001,0.903,0.875766049,5.176942162,7.506566134
22,1,0,10,2,2,old leaf,0.01486,0.7,Fe,0.057550642,0.058,0.03050069,0.017593169,0.261434486
23,1,0,10,2,2,young leaf,0.00285,0.7,Fe,0.051913398,0.052,0.024863446,0.074777281,0.213115251
24,1,0,10,2,2,root,0.00329,0.7,Fe,1.51474325,1.515,1.487693298,3.875883538,12.75165684
25,1,0,10,2,3,old leaf,0.03215,0.5,Fe,0.113021721,0.113,0.085971769,0.032088996,1.031661228
26,1,0,10,2,3,young leaf,0.0097,0.7,Fe,0.080485604,0.08,0.053435652,0.047218544,0.458019874
27,1,0,10,2,3,root,0.0043,0.7,Fe,3.574119027,3.574,3.547069075,7.070569585,30.40344921
55,0,1,01,0,1,old leaf,0.01027,0.7,Fe,0.041221951,0.041,0.014171999,0.01182807,0.121474277
56,0,1,01,0,1,young leaf,0.01377,0.7,Fe,0.059644906,0.06,0.032594954,0.02028942,0.27938532
57,0,1,01,0,1,root,0.00161,0.7,Fe,0.672635647,0.673,0.645585695,3.437013461,5.533591671
58,0,1,01,0,2,old leaf,0.04048,0.5,Fe,0.084951761,0.085,0.057901809,0.017164568,0.694821708
59,0,1,01,0,2,young leaf,0.02221,0.5,Fe,0.073362769,0.073,0.046312817,0.025022684,0.555753804
60,0,1,01,0,2,root,0.00136,0.7,Fe,0.905077338,0.905,0.878027386,5.533786046,7.525949023
61,0,1,01,0,3,old leaf,0.06928,0.4,Fe,0.192922462,0.193,0.16587251,0.035913505,2.48808765
62,0,1,01,0,3,young leaf,0.02692,0.5,Fe,0.075241436,0.075,0.048191484,0.021482088,0.578297808
63,0,1,01,0,3,root,0.00205,0.7,Fe,1.48855218,1.489,1.461502228,6.110810709,12.52716195
